ID, station, date, enter_00, exit00, enter_01, exit01, enter_02, exit02, enter_03, exit03, enter_04, exit04, enter_05, exit05, enter_06, exit06, enter_07, exit07, enter_08, exit08, enter_09, exit09, enter_010, exit010, enter_011, exit011, enter_012, exit012, enter_013, exit013, enter_014, exit014, enter_015, exit015, enter_016, exit016, enter_017, exit017, enter_018, exit018, enter_019, exit019, enter_020, exit020, enter_021, exit021, enter_022, exit022, enter_023, exit023,station_latitute,station_longitude
BMTJFORESTPARKWAY-85THST,FOREST PARKWAY-85TH ST,5/1/11,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0.25,1.75,0.25,1.75,0.25,1.75,0.25,1.75,0,0,0,0,0,0,0,0,40.692435,-73.86001
BMTJHALSEYST,HALSEY ST,5/1/11,150.5,117,0,0,0,0,0,0,0,0,28,32.75,28,32.75,28,32.75,28,32.75,119.5,26,119.5,26,119.5,26,119.5,26,215,39.25,215,39.25,215,39.25,215,39.25,204.25,91.5,204.25,91.5,204.25,91.5,204.25,91.5,150.5,117,150.5,117,150.5,117,40.68637,-73.916559
BMTJMFLUSHINGAV,FLUSHING AV,5/1/11,272.25,112,0,0,0,0,0,0,0,0,31.25,34.75,31.25,34.75,31.25,34.75,31.25,34.75,97.75,43,97.75,43,97.75,43,97.75,43,215,77.5,215,77.5,215,77.5,215,77.5,331.5,117.25,331.5,117.25,331.5,117.25,331.5,117.25,272.25,112,272.25,112,272.25,112,40.70026,-73.941126
BMTJMHEWESST,HEWES ST,5/1/11,75.75,53.25,0,0,0,0,0,0,0,0,20,17,20,17,20,17,20,17,27,17.5,27,17.5,27,17.5,27,17.5,94.5,19.75,94.5,19.75,94.5,19.75,94.5,19.75,121,40.5,121,40.5,121,40.5,121,40.5,75.75,53.25,75.75,53.25,75.75,53.25,40.70687,-73.953431
BMTJMLORIMERST,LORIMER ST,5/1/11,98.75,140.75,0,0,0,0,0,0,0,0,19,9.25,19,9.25,19,9.25,19,9.25,54,18.25,54,18.25,54,18.25,54,18.25,133,27.75,133,27.75,133,27.75,133,27.75,293.25,160,293.25,160,293.25,160,293.25,160,98.75,140.75,98.75,140.75,98.75,140.75,40.703869,-73.947408
BMTJMZMARCYAV,MARCY AV,5/1/11,564.5,494.5,0,0,0,0,0,0,0,0,107,117.5,107,117.5,107,117.5,107,117.5,263.5,185.5,263.5,185.5,263.5,185.5,263.5,185.5,503.5,226,503.5,226,503.5,226,503.5,226,1135,516,1135,516,1135,516,1135,516,564.5,494.5,564.5,494.5,564.5,494.5,40.708359,-73.957757
BMTJMZMYRTLEAV,MYRTLE AV,5/1/11,280,343.5,0,0,0,0,0,0,0,0,56.5,132.25,56.5,132.25,56.5,132.25,56.5,132.25,179.25,102,179.25,102,179.25,102,179.25,102,362,165.75,362,165.75,362,165.75,362,165.75,374.5,259,374.5,259,374.5,259,374.5,259,280,343.5,280,343.5,280,343.5,40.697207,-73.935657
BMTJNQRZ6CANALST,CANAL ST,5/1/11,3826.75,2207,0,0,0,0,0,0,0,0,274.75,131.75,274.75,131.75,274.75,131.75,274.75,131.75,230,633,230,633,230,633,230,633,883.75,2190.75,883.75,2190.75,883.75,2190.75,883.75,2190.75,2776.75,1980.25,2776.75,1980.25,2776.75,1980.25,2776.75,1980.25,3826.75,2207,3826.75,2207,3826.75,2207,40.718092,-73.999892
BMTJZ104THST-102NDST,104TH ST-102ND ST,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,40.695178,-73.84433
BMTJZ121STST,121ST ST,5/1/11,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.25,5,0.25,5,0.25,5,0.25,5,0,4.25,0,4.25,0,4.25,0,4.25,0,3.25,0,3.25,0,3.25,0,3.25,40.700492,-73.828294
BMTJZ456CHAMBERSST,CHAMBERS ST,5/1/11,0,0,0,0,0,0,0,0,284.5,324,284.5,324,284.5,324,284.5,324,140.5,271.5,140.5,271.5,140.5,271.5,140.5,271.5,943.5,1893.5,943.5,1893.5,943.5,1893.5,943.5,1893.5,2798.5,2959,2798.5,2959,2798.5,2959,2798.5,2959,2488.5,1850.5,2488.5,1850.5,2488.5,1850.5,2488.5,1850.5,40.713243,-74.003401
BMTJZBOWERY,BOWERY,5/1/11,0,0,0,0,0,0,0,0,69.25,30.5,69.25,30.5,69.25,30.5,69.25,30.5,0,0,0,0,0,0,0,0,84.25,246.75,84.25,246.75,84.25,246.75,84.25,246.75,144.5,176,144.5,176,144.5,176,144.5,176,207.75,110.5,207.75,110.5,207.75,110.5,207.75,110.5,40.72028,-73.993915
BMTJZBROADST,BROAD ST,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,2.25,0,2.25,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.706476,-74.011056
BMTJZCHAUNCEYST,CHAUNCEY ST,5/1/11,79.25,58.75,0,0,0,0,0,0,0,0,16,20.25,16,20.25,16,20.25,16,20.25,61,12.75,61,12.75,61,12.75,61,12.75,100.25,24,100.25,24,100.25,24,100.25,24,101,42.25,101,42.25,101,42.25,101,42.25,79.25,58.75,79.25,58.75,79.25,58.75,40.682893,-73.910456
