Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Murray Hill,455375,5371682.23,487229.52,0.0907,6
East Brooklyn,266,6214.52,446.56,0.0719,6
Nkew Gardens,1351,35798.82,2816.74,0.0787,6
Springfield Gardens,510,24912.31,2102.4,0.0844,6
Woodlawn-Nordwood,43,864.56,38.23,0.0442,6
Hamilton Heights,24612,394721,32549.47,0.0825,6
Parkchester,313,4575.4,278.72,0.0609,6
Bedford-Stuyvesant,5771,89647.94,7149.32,0.0797,6
Morris Park,152,3061.79,146.71,0.0479,6
Sunset Park,728,12769.82,925.08,0.0724,6
Country Club,30,631.43,21.93,0.0347,6
Maspeth,1140,39218.07,3327.57,0.0848,6
Throggs Neck,76,1217.46,85.65,0.0704,6
North Sutton Area,148181,1737733.13,146326.26,0.0842,6
Soundview,172,3103.51,238.21,0.0768,6
Glendale,121,2354.98,133.38,0.0566,6
Little Italy,127723,1676527.93,159754.67,0.0953,6
Riverdale,122,2901.29,273.53,0.0943,6
Fordham,149,2493.39,169.57,0.068,6
Yorkville,106195,1368956.68,107572.06,0.0786,6
Kings Bridge,158,2886.03,181.48,0.0629,6
Spuyten Duyvil,73,1822.8,137.16,0.0752,6
Battery Park,117669,1954551.78,195669.07,0.1001,6
Financial District,303658,5137876.93,460658,0.0897,7
Williamsburg,60560,976247.43,95546.38,0.0979,7
West Village,352796,4467033.62,430044.29,0.0963,7
Ridgewood,423,6523.12,476.18,0.073,7
Clearview,25,472.27,28.77,0.0609,7
Williams Bridge,57,1029.37,27.88,0.0271,7
Cobble Hill,8168,151562.64,16366.92,0.108,7
Inwood,898,18495.74,1392.08,0.0753,7
Queens Village,92,1580.01,117.37,0.0743,7
Auburndale,65,1454.68,132.2,0.0909,7
Jackson Heights,8702,172213.97,11251.3,0.0653,7
Chelsea,929042,11037072.09,1056078.14,0.0957,7
University Heights,122,2423.48,113.4,0.0468,7
Greenwood,1768,31645,3094.21,0.0978,7
Wakefield-Williamsbridge,62,929.3,43.8,0.0471,7
Park Slope,14313,226875.28,21546.91,0.095,7
Chinatown,47753,671964.38,49127.43,0.0731,7
Corona,509,20624.02,2301.85,0.1116,7
South Bronx,608,8847.87,539.92,0.061,7
Sunny Side,40957,708250.87,54806.03,0.0774,7
Soho,306456,3976614.71,375294.84,0.0944,7
Dyker Heights,85,2269.88,130.75,0.0576,7
Upper West Side,975393,11537211.56,1006877,0.0873,7
Harlem,54571,759783.38,63081.83,0.083,7
Bay Ridge,561,10939.51,953.52,0.0872,7
Woodhaven-Richmond Hill,411,8862.64,437.01,0.0493,7
Jamaica,2894,149977.55,12438.98,0.0829,7
Bedford Park,135,2379.62,148.7,0.0625,7
East Village,463630,5869154.99,569003.21,0.0969,7
Hunts Point,86,1449.02,90.93,0.0628,7
Gravesend-Sheepshead Bay,476,8654.47,618.69,0.0715,7
Lower East Side,290914,4048549.81,377473.8,0.0932,7
Mapleton-Flatlands,1103,16919.6,1218.44,0.072,7
Baychester,16,273.43,5.1,0.0187,7
Upper East Side,1627505,18963006.8,1614456.6,0.0851,7
Union Port,190,2635.18,139.7,0.053,7
Central Park,173410,2023416.64,160045.34,0.0791,7
Country Club,46,1104.43,36.45,0.033,7
Greenwich Village,620922,7537210.45,702562.51,0.0932,7
Forest Hills,4798,98797.04,7182.27,0.0727,7
Middle Village,256,4353.07,309.3,0.0711,7
Downtown,31901,538630.16,48770.02,0.0905,7
Morris Heights,206,2864.35,146.25,0.0511,7
Steinway,36,417.8,33.8,0.0809,7
Utopia,1036,34653.27,2907.98,0.0839,7
Boerum Hill,17350,265058.29,24481.79,0.0924,7
Fort Green,29467,466756.98,43439.51,0.0931,7
Brownsville,141,2783.08,148,0.0532,7
Bushwick,3251,51486.8,4718.94,0.0917,7
Clinton,459504,5592966.57,465924.85,0.0833,7
City Island,11,275.66,0,0,7
Borough Park,1589,28818.84,2493.31,0.0865,7
Gramercy,1057870,12248612.22,1165482.01,0.0952,7
Astoria-Long Island City,60704,926330.84,67220.06,0.0726,7
Garment District,756953,9069264.36,719357.02,0.0793,7
